"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"FCGRT","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"FDXR","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"FERMT1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"FGFBP3","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"FKRP","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"FLAD1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"FMO2","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FOXN1","0.00507","0.366","0.0636","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"G6PD","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"GAL3ST3","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"GALNT10","0.0107","0.366","0.0909","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"GBA2","0.00507","0.366","0.0636","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"GLP1R","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"GLYATL3","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GPR126","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"HIGD1A","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"HRH1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"IFNG","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"IGFN1","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"IHH","0.0712","0.366","0.0727","1","hsa-miR-503-5p","",""
"IL1R1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"IL2RB","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"IRAK1","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ISLR","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"ISM2","0.0210","0.366","0.127","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"JOSD2","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"KBTBD4","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KCNA7","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"KCNIP1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"KCNK6","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"KLHL1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"KNSTRN","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"KRBA2","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"LAMB3","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"LAMTOR4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"LARP1","0.0507","0.366","0.200","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"LCP2","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"LMTK2","0.0598","0.366","0.218","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"LPAR4","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"LRFN2","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"LRIG2","0.0552","0.366","0.209","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"LRRC58","0.0210","0.366","0.127","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"LSM10","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"LSM11","0.0345","0.366","0.164","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"LTB","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"LYRM1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"MAPK7","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"MED16","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"MED22","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"MIDN","0.0210","0.366","0.127","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"MMAB","0.0274","0.366","0.145","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"MMP16","0.0375","0.366","0.303","3","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p","hsa-miR-24-3p"
"MROH8","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"MRPL34","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"MRPL4","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"MTHFR","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"MTMR11","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"MTMR14","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"MYLK","0.0102","0.366","0.194","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-503-5p"
"MYO5A","0.0552","0.366","0.209","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"NAIF1","0.00365","0.366","0.0545","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"NAPRT1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"NDUFA7","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"NDUFAF4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"NEK4","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"NFXL1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"NIPSNAP1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"NISCH","0.0712","0.366","0.0727","1","hsa-miR-503-5p","",""
"NKX2-5","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"NR5A1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"NRP2","0.0552","0.366","0.209","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"NUDT17","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"OSTN","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PARL","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"PCK2","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"PDHB","0.0345","0.366","0.164","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"PDZD8","0.0210","0.366","0.127","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"PER1","0.0107","0.366","0.0909","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"PHOX2B","0.0274","0.366","0.145","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"PIGS","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"PIM2","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"PLA2G2C","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"PLK3","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"PML","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"PNKP","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PNPO","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"POLR3H","0.0210","0.366","0.127","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"POM121","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"PPM1D","0.0464","0.366","0.191","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"PPP1R11","0.00672","0.366","0.0727","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"PPP1R1C","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"PRKCH","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"PRKRIP1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"PRPF31","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"PRSS8","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"PRX","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PSKH1","0.00859","0.366","0.0818","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"PTCD1","0.00859","0.366","0.0818","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"PTGER4","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"PTGFRN","0.0646","0.366","0.227","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"RAB32","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"RAB3IL1","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"RBP4","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"RCN3","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"RHBDL1","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"RIMS2","0.0345","0.366","0.164","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"RMI2","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"RNASEL","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RNF138","0.0181","0.366","0.118","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"RNF32","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RNF40","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"RNF41","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"RP11-156E8.1","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RP4-559A3.7","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"RPA3","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RPAP2","0.00859","0.366","0.0818","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"RPL36","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"RPS15","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RRP12","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"RUFY1","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SBSPON","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SCML1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"SECISBP2","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"SEMA3G","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SEMA4A","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"SERINC4","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"SERTAD1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"SH2D4A","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"SHFM1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"SIAH3","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"SLC11A2","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"SLC19A3","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SLC23A3","0.00148","0.366","0.0364","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"SLC26A10","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"SLC2A14","0.0130","0.366","0.100","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"SLC2A3","0.0181","0.366","0.118","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"SLC39A6","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"SLC52A3","0.0538","0.366","0.0545","1","hsa-miR-503-5p","",""
"SLC5A6","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"SLC9A3R1","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"SLC9B2","0.0538","0.366","0.0545","1","hsa-miR-215-5p","",""
"SMAGP","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"SMC5","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"SPI1","0.0538","0.366","0.0545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SRRD","0.0107","0.366","0.0909","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"STK10","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"STRA13","0.0361","0.366","0.0364","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"STRN","0.0571","0.366","0.352","3","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","hsa-miR-503-5p"
"TDRKH","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TGM2","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"TLL1","0.0241","0.366","0.136","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"TMEM165","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"TMEM216","0.00365","0.366","0.0545","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"TMEM74B","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"TMEM75","0.0182","0.366","0.0182","1","hsa-miR-24-3p","",""
"TMEM9","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"TMEM92","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"TNFSF8","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"TNFSF9","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"TOR1A","0.0712","0.366","0.0727","1","hsa-miR-215-5p","",""
"TRAK1","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"TRMT10B","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"TRPC4AP","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"TRPM6","0.0712","0.366","0.0727","1","hsa-miR-24-3p","",""
"TSHZ2","0.0646","0.366","0.227","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"TTC17","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"TTC9C","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"TYMS","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"UCK1","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"UCP2","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"USP2","0.0154","0.366","0.109","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"VASN","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"VPS28","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"WDR55","0.0154","0.366","0.109","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"WNT4","0.0107","0.366","0.0909","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"WWC2","0.0695","0.366","0.236","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"XPO4","0.00928","0.366","0.188","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-503-5p"
"ZC3H8","0.0538","0.366","0.0545","1","hsa-miR-24-3p","",""
"ZER1","0.0210","0.366","0.127","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"ZFYVE1","0.0712","0.366","0.0727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZNF217","0.0274","0.366","0.145","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"ZNF37A","0.0182","0.366","0.0182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZNF572","0.0361","0.366","0.0364","1","hsa-miR-24-3p","",""
"ZNF622","0.0361","0.366","0.0364","1","hsa-miR-503-5p","",""
"ZNF697","0.0464","0.366","0.191","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"ZPBP2","0.0361","0.366","0.0364","1","hsa-miR-215-5p","",""
"AC005003.1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ADAMTS14","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"AGPAT9","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ANKRD65","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ARHGEF5","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ARPC4-TTLL3","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ATG7","0.0798","0.366","0.255","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"AXL","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"B3GALT5","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"BNC1","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"BZW1","0.0798","0.366","0.255","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"C10orf76","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"C5orf27","0.0884","0.366","0.0909","1","hsa-miR-215-5p","",""
"CCDC171","0.0852","0.366","0.264","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"CCDC42B","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"CCDC58","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"CCDC74A","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"CDCA4","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"COG8","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CYB561D1","0.0798","0.366","0.255","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"DCAF16","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"DDX50","0.0884","0.366","0.0909","1","hsa-miR-215-5p","",""
"DENND4B","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"EIF5A2","0.0798","0.366","0.255","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"FBXO24","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"FZD1","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GDF11","0.0746","0.366","0.245","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"GRINA","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"IKBKB","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"IL21R","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"IMPA2","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KLHL3","0.0798","0.366","0.255","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"LFNG","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MANBAL","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"MAPK8IP2","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"MARCKSL1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"MATN3","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"MBOAT1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"MCTP2","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"MEOX1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"NAGA","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"NCKAP5L","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"PDLIM2","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"PIP5K1B","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PM20D2","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PQLC1","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PTK7","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"RAB4B","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"RAD9A","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"REEP2","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"RICTOR","0.0798","0.366","0.255","2","hsa-miR-215-5p","hsa-miR-503-5p",""
"SCEL","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"SMYD5","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"SNCAIP","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"SPECC1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"SSTR1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"TAF7L","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"TMEM194B","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"TRIM55","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"TSPYL2","0.0884","0.366","0.0909","1","hsa-miR-503-5p","",""
"TYSND1","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"VPS52","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZBTB2","0.0884","0.366","0.0909","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZMAT3","0.0798","0.366","0.255","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"ZNF532","0.0746","0.366","0.245","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"ZNF536","0.0884","0.366","0.0909","1","hsa-miR-215-5p","",""
"ZXDA","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ZXDB","0.0884","0.366","0.0909","1","hsa-miR-24-3p","",""
"ABCB9","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"ADM","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"AL354993.1","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"AMN","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"APPL2","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"ARSB","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"ASXL2","0.102","0.368","0.291","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"ATOH1","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"ATP6V1C2","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"BMP8B","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"BSN","0.108","0.368","0.300","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"BSND","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"BTAF1","0.108","0.368","0.300","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"BTF3","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"C1orf131","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"C6orf47","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"C8orf46","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"C8orf58","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"CASR","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"CCDC6","0.0963","0.368","0.282","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"CDC42SE2","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"CDCA2","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"CLDN12","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"CLSTN1","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"CNN2","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"COL23A1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"DAZAP1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"DCAF11","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"DCHS1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"DCLK3","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"DHX30","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"DHX33","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"EVX1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"FADS6","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"FAM149B1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"FAM229B","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"FAM57B","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"FCRLB","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"FGF11","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"FGFR3","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"FOSL1","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"FP15737","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"FRK","0.108","0.368","0.300","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"GAD1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"GNL1","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"H2AFX","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"HNRNPA1","0.108","0.368","0.300","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"HSPA4L","0.120","0.368","0.318","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"IGSF1","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"IL1A","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"KIF23","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"KIF24","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KPNA6","0.114","0.368","0.309","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"LAYN","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"LIPT2","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"LRCH3","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"LRRC15","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MAN1C1","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MKX","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"MOB3C","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"MRC2","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"MRPL45","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"MYLK3","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NLRP1","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"NR6A1","0.120","0.368","0.318","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"OLIG3","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"PDF","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PDGFRB","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"PDP1","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"PELI3","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"PLAGL1","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
