"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"ZNF566","0.263","0.283","0.298","1","hsa-miR-361-3p","",""
"ARL10","0.267","0.286","0.302","1","hsa-miR-6741-3p","",""
"PHB2","0.269","0.288","0.305","1","hsa-miR-361-3p","",""
"IP6K1","0.274","0.293","0.312","1","hsa-miR-361-3p","",""
"ABCG8","0.276","0.294","0.314","1","hsa-miR-26b-3p","",""
"ATXN1","0.276","0.294","0.314","1","hsa-miR-361-3p","",""
"SMG1","0.279","0.297","0.319","1","hsa-miR-6741-3p","",""
"XKR4","0.281","0.298","0.321","1","hsa-miR-6741-3p","",""
"ONECUT3","0.285","0.301","0.326","1","hsa-miR-6741-3p","",""
"ZNF431","0.285","0.301","0.326","1","hsa-miR-6741-3p","",""
"ARHGDIA","0.286","0.302","0.328","1","hsa-miR-361-3p","",""
"SNRPD1","0.286","0.302","0.328","1","hsa-miR-6741-3p","",""
"GK5","0.290","0.305","0.332","1","hsa-miR-6741-3p","",""
"FAM71F2","0.292","0.306","0.335","1","hsa-miR-6741-3p","",""
"ZMAT3","0.292","0.306","0.335","1","hsa-miR-451b","",""
"ZNF652","0.293","0.307","0.337","1","hsa-miR-6741-3p","",""
"PMAIP1","0.295","0.308","0.339","1","hsa-miR-6750-3p","",""
"BZW1","0.299","0.312","0.344","1","hsa-miR-451b","",""
"TRIM72","0.300","0.313","0.346","1","hsa-miR-6741-3p","",""
"MSANTD4","0.302","0.314","0.349","1","hsa-miR-6741-3p","",""
"RNF11","0.304","0.315","0.351","1","hsa-miR-6741-3p","",""
"BCL2L1","0.307","0.318","0.356","1","hsa-miR-361-3p","",""
"RBM23","0.309","0.320","0.358","1","hsa-miR-6741-3p","",""
"ZNF417","0.317","0.328","0.369","1","hsa-miR-6741-3p","",""
"G3BP1","0.319","0.329","0.372","1","hsa-miR-6750-3p","",""
"SYNJ2BP","0.322","0.332","0.376","1","hsa-miR-451b","",""
"VAV3","0.326","0.335","0.381","1","hsa-miR-6741-3p","",""
"CRISPLD2","0.327","0.336","0.383","1","hsa-miR-6741-3p","",""
"CRK","0.331","0.339","0.388","1","hsa-miR-6741-3p","",""
"HMGB1","0.336","0.343","0.395","1","hsa-miR-6741-3p","",""
"SLC1A5","0.340","0.348","0.402","1","hsa-miR-6741-3p","",""
"PEX26","0.347","0.354","0.411","1","hsa-miR-451b","",""
"CYP20A1","0.352","0.358","0.418","1","hsa-miR-6750-3p","",""
"HOOK3","0.355","0.360","0.422","1","hsa-let-7d-3p","",""
"MAPK1","0.355","0.360","0.422","1","hsa-miR-6741-3p","",""
"CRCP","0.372","0.377","0.448","1","hsa-miR-451b","",""
"MKNK2","0.374","0.378","0.450","1","hsa-miR-361-3p","",""
"CNBP","0.377","0.381","0.455","1","hsa-miR-6741-3p","",""
"SFT2D2","0.391","0.394","0.476","1","hsa-miR-6750-3p","",""
"GATA6","0.393","0.395","0.478","1","hsa-miR-6741-3p","",""
"CELF1","0.394","0.396","0.480","1","hsa-let-7d-3p","",""
"GDE1","0.428","0.430","0.533","1","hsa-miR-26b-3p","",""
"XIAP","0.438","0.439","0.549","1","hsa-miR-451b","",""
"NACC1","0.485","0.485","0.628","1","hsa-miR-361-3p","",""
