Gene Symbol
IL1RL2
BIVM
CCDC83
CDKN3
DECR1
DGCR6L
IL1RAP
IRAK1
KIF3B
MFSD6
MRPL10
PA2G4
PSME3
TLL1
TRAP1
UHRF1
ZNF260
PPP1R11
BRCA1
PRDM4
ESD
WIPI2
LSM4
WASF2
PPWD1
VANGL2
PISD
AGO1
ARL8A
CAPN15
DHCR24
FANCF
FEN1
FGF2
GRAP2
LIMS1
MCM9
MDM4
NCEH1
NPLOC4
PACS2
PAK4
PI4K2B
POU3F1
PPM1F
RHOBTB3
RHOC
SEPT8
SERTAD2
SYNGR2
SYNRG
USP48
UTP15
ZNF281
ZNRF3
BRWD1
LBR
CDC73
E2F3
PSMB5
RAC1
RPS6KA4
SCAMP2
SMAD2
GATA6
CNKSR3
ELP2
HNRNPA1
KCTD15
PXMP4
SP1
TRAF7
ZMAT3
ACACA
RNF11
ERGIC1
PTPRF
ATG9A
KIF5B
ACTR2
CRK
EIF4H
VAV3
