miRNA,MI_Score
hsa-miR-32-5p,0.14878236298637137
hsa-miR-326,0.1684477312746635
hsa-miR-328-3p,0.1662755937282019
hsa-miR-330-5p,0.16180754549856058
hsa-miR-331-3p,0.17944668942261455
hsa-miR-335-3p,0.17566750277866205
hsa-miR-335-5p,0.21155445212117296
hsa-miR-339-3p,0.1488356693465649
hsa-miR-339-5p,0.15876327511162636
hsa-miR-340-3p,0.1776403378537501
hsa-miR-340-5p,0.18544746123256095
hsa-miR-342-3p,0.16866551507526806
hsa-miR-342-5p,0.16648301509561803
hsa-miR-345-5p,0.19757751235705534
hsa-miR-3605-3p,0.18271691708377436
hsa-miR-3613-3p,0.15756802804888803
hsa-miR-361-3p,0.1699396815084655
hsa-miR-3615,0.185989138590958
hsa-miR-361-5p,0.148074576386231
hsa-miR-3620-3p,0.14878202969021626
hsa-miR-362-5p,0.15098407297243188
hsa-miR-363-3p,0.17950813749625993
hsa-miR-3688-3p,0.1715443219746633
hsa-miR-3688-5p,0.15825968142002456
hsa-miR-374a-5p,0.13258455320210816
hsa-miR-374b-5p,0.165989868782642
hsa-miR-374c-3p,0.16535912770751304
hsa-miR-378a-3p,0.1629191244071002
hsa-miR-378a-5p,0.14363282185999937
hsa-miR-3909,0.18851669644302227
hsa-miR-3940-3p,0.20558405788106127
hsa-miR-409-3p,0.1420988231807967
hsa-miR-421,0.1582666290575636
hsa-miR-423-3p,0.17821312967911274
hsa-miR-423-5p,0.15980474178846338
hsa-miR-424-3p,0.1517502390114287
hsa-miR-425-3p,0.21986573519659425
hsa-miR-425-5p,0.1833819260186189
hsa-miR-4326,0.15380772168945311
hsa-miR-4433-3p,0.1606821470168489
hsa-miR-4433b-5p,0.1605902238375143
hsa-miR-4435,0.17678150030823492
hsa-miR-4482-3p,0.15061306194393076
hsa-miR-4511,0.19582585841051525
hsa-miR-451a,0.17358619959486177
hsa-miR-451b,0.15080546847348097
hsa-miR-454-3p,0.15823439106697812
hsa-miR-454-5p,0.16712843920282694
hsa-miR-4646-3p,0.1773140755160152
hsa-miR-4677-3p,0.18774537605097352
hsa-miR-4685-3p,0.1786317749157571
hsa-miR-4732-3p,0.16673914955465907
hsa-miR-4732-5p,0.1738886591032789
hsa-miR-4742-3p,0.16901691514104122
hsa-miR-4746-5p,0.16369577025136772
hsa-miR-4781-3p,0.1621662533705135
hsa-miR-484,0.21090409240057761
hsa-miR-485-3p,0.18635584300745034
hsa-miR-486-3p,0.14915189488534164
hsa-miR-486-5p,0.18466394618152382
hsa-miR-5001-3p,0.16270584954825917
hsa-miR-500a-3p,0.19679300552196732
hsa-miR-5010-3p,0.1918626914487791
hsa-miR-501-3p,0.1441903871293131
hsa-miR-502-3p,0.17693768034485702
hsa-miR-503-5p,0.19569445354272252
hsa-miR-505-3p,0.1771531216271902
hsa-miR-5189-3p,0.1717858925513962
hsa-miR-532-3p,0.16290200237967367
hsa-miR-532-5p,0.21140934777521636
hsa-miR-548k,0.13155072927483724
hsa-miR-548o-3p,0.12999376231102522
hsa-miR-550a-3p,0.17092495321966927
hsa-miR-550a-5p,0.18760880303945315
hsa-miR-550b-2-5p,0.17190834435576852
hsa-miR-550b-3p,0.1669655209734242
hsa-miR-5695,0.1331895612118883
hsa-miR-574-3p,0.15887582274498424
hsa-miR-576-5p,0.18009302732146626
hsa-miR-584-5p,0.17527521091316522
hsa-miR-589-3p,0.16482955781113917
hsa-miR-589-5p,0.1390168848693909
hsa-miR-616-5p,0.18222919981659969
hsa-miR-625-3p,0.18424415643130354
hsa-miR-625-5p,0.1486991104855644
hsa-miR-627-3p,0.16327349187840623
hsa-miR-627-5p,0.1651451410389595
