Target gene
C17orf58
CCDC67
KIAA0040
GRM5
H3F3C
NAA20
PDSS1
ZDHHC16
BATF3
EIF4EBP3
DDIT4
FUT9
LIN7C
H3F3B
NET1
OGN
KCNJ6
XKR4
XIRP2
GRIN2B
LPP
DST
ANKRD12
CDK6
ONECUT2
PHIP
TTC14
ST8SIA1
CEP350
NBEAL1
MAP1B
FCRL4
CSRNP3
TAOK1
RSF1
SAMD5
FAM209B
ZNF286A
TMEM232
TMEM196
ZNF616
ZNF83
ZNF528
FAM196A
ZRANB2
C17orf112
TRIM44
RRAGA
GLYCTK
ZNF781
ZNF780B
ZNF780A
ZNF30
IL1RL2
SLC25A20
OR52N2
ZNF573
ING3
ZNF460
ZNF594
KIDINS220
C5AR2
ZNF578
TSR2
KHDC1L
FAM169A
AQP9
TNFAIP8
RHOA
RP13-512J5.1
C10orf67
TFRC
GSTK1
GNAO1
GSX2
NKX6-1
ATP6AP2
MEOX2
GLRX5
C5orf30
SNN
GADD45A
ARL8B
NPTN
NPEPL1
MITF
CLCN6
CDK5R1
HOMER1
TMEM54
C18orf25
SOS2
