AQP9
TNFAIP8
RHOA
RP13-512J5.1
C10orf67
UTS2B
STXBP6
KIAA0101
SCGB1D2
GPX8
DSTN
SEPHS2
C9orf72
CCNYL1
TMEM14E
LSM4
SLC25A31
KCNMB3
GABRG3
RTFDC1
VMO1
NACA2
DYNAP
CETN1
RHOXF2B
FAM71F1
ATP6V1G1
TMEM74
TVP23B
DHFR
YIPF3
SPTSSA
RPE
NDNL2
CHPT1
NPTX1
FNTA
KCNJ6
FEZ2
KLRD1
SCO1
C5orf64
PGPEP1
UBE2E1
C1orf85
VMA21
ARPC5
OSCAR
TSN
FAM46A
PLS3
FKBP14
LRRN4CL
PTGER2
AC008443.1
SEP15
ATP6V1F
PDCD5
SRI
AK4
ZNF788
RLN1
ERVFRD-1
EED
GPRC5A
SERPINB9
PPP3R1
DECR2
SH3GL2
RAB10
SLC25A32
EGLN3
CALB1
MEIS1
MTMR11
ADO
TBC1D7
WNT16
DNER
RALB
SNX16
ANKRA2
MKRN3
LHX8
KLHL20
EED
DLGAP1
MTDH
B3GNT5
TMEM181
STOX2
TWF1
PIP4K2A
GABRB1
SRSF7
LGI1
GSKIP
PAPD4
CYP24A1
IL1RAPL2
WDR82
UBE2V2
TMEM170B
ZNRF1
TNRC6A
MEX3B
CCNE2
TTLL7
PTP4A1
FOXG1
PDE7A
LRRC17
RORA
KLHL28
DESI2
INO80D
GAN
UBE2I
SCN9A
ARL4A
RARB
NFIB
CAMK2N1
LIN28A
GNA13
ACTC1
ZDHHC20
SOCS1
RAB32
IDH1
SRSF10
RFX6
RRAD
C9orf72
ELOVL5
ZPBP2
C7orf43
E2F7
SLC7A10
ATP8A1
MIER3
COL25A1
SCN2A
EDNRA
RASA1
ZBTB11
REEP3
VIM
DOLPP1
PBRM1
ELMOD2
FAP
ATG5
FBXO45
RHEBL1
FAM43A
RUNX2
CEP76
PTPN13
HOXA1
AC104472.1
RAD23B
EVX2
SEC23A
RP11-160N1.10
SMAD1
SYNGR3
ACTR3C
FZD3
ELAVL2
STX2
RP11-497E19.2
TIA1
C10orf11
GMNC
RARG
GNG10
PPP1R2
RP6-24A23.6
UCP3
EXTL2
LHX9
PPIL3
PGM3
STIM2
DOCK7
PPARGC1A
ASB3
STAC
LMBR1L
CHD1
DBF4
PPP1R18
BECN1
LIN28B
FAM133A
FAM49A
GALNT7
PRDM1
REV1
PGM1
COL13A1
GPR75-ASB3
PPID
CAPN5
USP45
YPEL2
YTHDC1
LRRC8D
R3HDM1
PLAGL2
WNK3
PCGF3
PRPF40A
SLC35B4
FLJ20373
MSANTD3-TMEFF1
NEDD4
NR4A2
ZFAND5
CCDC117
MAP3K2
NECAP1
CFDP1
PAAF1
ZBTB41
RAB38
TMEFF1
OMG
SOCS3
CSAD
RAP1B
TMEM121
GNPDA1
CARS
KXD1
SMAP1
ITGA8
IP6K3
CCNT2
FAM81A
DCBLD1
PFN2
SNAI1
AVEN
ADRA2A
ANKHD1
RAB27B
S100PBP
SDAD1
LHX1
CALB2
PABPC1L2B
DNAJC25-GNG10
SLC35F1
PPARGC1B
CTHRC1
SNX18
USP48
VAT1L
NRXN3
CAPZA1
SEPT7
FOXB1
CDC37L1
