"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"C1orf106","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"C1orf131","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"C1orf168","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"C20orf196","0.0628","0.597","0.0636","1","hsa-miR-3184-5p","","",""
"C20orf27","0.0318","0.597","0.0318","1","hsa-miR-3184-5p","","",""
"C21orf33","0.0628","0.597","0.0636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"C3orf18","0.122","0.597","0.127","1","hsa-miR-324-5p","","",""
"C3orf65","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"C4orf3","0.0628","0.597","0.0636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"C5orf27","0.151","0.597","0.159","1","hsa-miR-215-5p","","",""
"C6orf47","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"C8orf46","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"C8orf58","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"CACNA1I","0.0841","0.597","0.255","2","hsa-miR-215-5p","hsa-miR-503-5p","",""
"CAMK2B","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CAMKV","0.205","0.597","0.223","1","hsa-miR-324-5p","","",""
"CARD10","0.122","0.597","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"CASR","0.178","0.597","0.191","1","hsa-miR-503-5p","","",""
"CCDC134","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"CCDC152","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"CCDC160","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CCDC42B","0.00832","0.597","0.0795","2","hsa-miR-324-5p","hsa-miR-503-5p","",""
"CCDC58","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"CCDC74A","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"CCL4","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CCL4L1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CCM2L","0.151","0.597","0.159","1","hsa-miR-324-5p","","",""
"CCNI2","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CCT3","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CD164L2","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"CD28","0.0282","0.597","0.143","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"CD3D","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"CD80","0.0628","0.597","0.0636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"CDC14A","0.0573","0.597","0.207","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","",""
"CDC42SE2","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"CDCA2","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"CDCA4","0.151","0.597","0.159","1","hsa-miR-503-5p","","",""
"CDON","0.125","0.597","0.318","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p","",""
"CDS1","0.0347","0.597","0.159","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-324-5p","",""
"CENPP","0.171","0.597","0.382","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"CHAC1","0.0929","0.597","0.0955","1","hsa-miR-503-5p","","",""
"CHI3L1","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"CHMP4C","0.122","0.597","0.127","1","hsa-miR-324-5p","","",""
"CHPF","0.0318","0.597","0.0318","1","hsa-miR-503-5p","","",""
"CITED4","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CLDN12","0.178","0.597","0.191","1","hsa-miR-503-5p","","",""
"CLSTN1","0.178","0.597","0.191","1","hsa-miR-215-5p","","",""
"CLTCL1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CNN2","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"CNTFR","0.0493","0.597","0.191","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","",""
"COG8","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"COL23A1","0.0169","0.597","0.111","2","hsa-miR-24-3p","hsa-miR-324-5p","",""
"COL26A1","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"COMMD10","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"COMTD1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"CRB3","0.122","0.597","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"CSF1R","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CSK","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CTD-2207O23.12","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"CTDNEP1","0.0347","0.597","0.159","2","hsa-miR-3184-5p","hsa-miR-324-5p","",""
"CUEDC2","0.0628","0.597","0.0636","1","hsa-miR-324-5p","","",""
"CXCL10","0.0628","0.597","0.0636","1","hsa-miR-503-5p","","",""
"CXCR5","0.0573","0.597","0.207","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"CXXC1","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"CYP4F22","0.0628","0.597","0.0636","1","hsa-miR-3184-5p","","",""
"CYTH2","0.122","0.597","0.127","1","hsa-miR-3184-5p","","",""
"DALRD3","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"DAND5","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"DAZAP1","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"DBP","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
"DBT","0.122","0.597","0.127","1","hsa-miR-215-5p","","",""
"DCAF11","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"DCAF16","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"DCHS1","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"DCK","0.0628","0.597","0.0636","1","hsa-miR-215-5p","","",""
"DCLK3","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"DDX49","0.00832","0.597","0.0795","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p","",""
"DDX50","0.151","0.597","0.159","1","hsa-miR-215-5p","","",""
"DENND4B","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"DERL3","0.0929","0.597","0.0955","1","hsa-miR-3184-5p","","",""
"DHX30","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"DHX33","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"DIAPH1","0.0417","0.597","0.175","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"DIAPH2","0.182","0.597","0.398","2","hsa-miR-215-5p","hsa-miR-503-5p","",""
"DIO3","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"DKFZP761J1410","0.0282","0.597","0.143","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"DKFZP779L1853","0.0318","0.597","0.0318","1","hsa-miR-215-5p","","",""
"DLGAP4","0.0658","0.597","0.223","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"DNAH17-AS1","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"DNAJC19","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"DNAL4","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"DND1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"DNPEP","0.0318","0.597","0.0318","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"DUSP16","0.136","0.597","0.334","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","",""
"DVL3","0.104","0.597","0.286","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"DYRK1B","0.0417","0.597","0.175","2","hsa-miR-3184-5p","hsa-miR-503-5p","",""
"EDA2R","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"EIF4A1","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"EIF4G1","0.122","0.597","0.127","1","hsa-miR-503-5p","","",""
"ELAVL1","0.205","0.597","0.223","1","hsa-miR-324-5p","","",""
"ELOVL3","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
"ENGASE","0.0318","0.597","0.0318","1","hsa-miR-3184-5p","","",""
"ENTPD6","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"ERBB2","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
"ERLEC1","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"EVX1","0.0123","0.597","0.0955","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"EXOG","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"EXT2","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"FABP3","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"FADS6","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"FAM110C","0.122","0.597","0.127","1","hsa-miR-503-5p","","",""
"FAM127A","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
"FAM127B","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"FAM127C","0.0929","0.597","0.0955","1","hsa-miR-3184-5p","","",""
"FAM149B1","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"FAM172A","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"FAM175B","0.114","0.597","0.302","2","hsa-miR-24-3p","hsa-miR-324-5p","",""
"FAM19A2","0.205","0.597","0.223","1","hsa-miR-324-5p","","",""
"FAM210A","0.122","0.597","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"FAM229B","0.178","0.597","0.191","1","hsa-miR-215-5p","","",""
"FAM26E","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"FAM45A","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"FAM57B","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"FAM78B","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"FANCA","0.0417","0.597","0.175","2","hsa-miR-324-5p","hsa-miR-503-5p","",""
"FANCC","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"FANCE","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"FBXO24","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"FBXW4","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"FCGRT","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"FCRLB","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"FDXR","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"FERMT1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"FGF11","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"FGFBP3","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"FGFR3","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"FKRP","0.0929","0.597","0.0955","1","hsa-miR-503-5p","","",""
"FLAD1","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"FLJ27365","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
"FMO2","0.0628","0.597","0.0636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"FOSL1","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"FOXN1","0.0169","0.597","0.111","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"FP15737","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"FZD1","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"G6PD","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"GAD1","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"GAL3ST3","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"GAL3ST4","0.122","0.597","0.127","1","hsa-miR-3184-5p","","",""
"GALNT10","0.0347","0.597","0.159","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p","",""
"GATSL2","0.195","0.597","0.414","2","hsa-miR-191-5p","hsa-miR-24-3p","",""
"GBA2","0.0169","0.597","0.111","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"GDF11","0.0414","0.597","0.286","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-3184-5p",""
"GDF5OS","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"GGT7","0.151","0.597","0.159","1","hsa-miR-324-5p","","",""
"GK5","0.125","0.597","0.318","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"GLP1R","0.00507","0.597","0.0636","2","hsa-miR-215-5p","hsa-miR-3184-5p","",""
"GLYATL3","0.0318","0.597","0.0318","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"GLYR1","0.0841","0.597","0.255","2","hsa-miR-191-5p","hsa-miR-3184-5p","",""
"GMPPB","0.0282","0.597","0.143","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"GNL1","0.205","0.597","0.223","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"GON4L","0.0929","0.597","0.0955","1","hsa-miR-324-5p","","",""
"GPR126","0.122","0.597","0.127","1","hsa-miR-215-5p","","",""
"GPX3","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"GRINA","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"H2AFX","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"HIGD1A","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"HIST1H3I","0.0628","0.597","0.0636","1","hsa-miR-3184-5p","","",""
"HRH1","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"HRK","0.195","0.597","0.414","2","hsa-miR-191-5p","hsa-miR-24-3p","",""
"IFNG","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"IGFN1","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"IGSF1","0.205","0.597","0.223","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"IHH","0.122","0.597","0.127","1","hsa-miR-503-5p","","",""
"IKBKB","0.151","0.597","0.159","1","hsa-miR-503-5p","","",""
"IL1A","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"IL1R1","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"IL21R","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"IL2RB","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"IMPA2","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"INTS7","0.0628","0.597","0.0636","1","hsa-miR-324-5p","","",""
"IRAK1","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"ISLR","0.0929","0.597","0.0955","1","hsa-miR-503-5p","","",""
"ISM2","0.00623","0.597","0.148","3","hsa-miR-24-3p","hsa-miR-324-5p","hsa-miR-503-5p",""
"JOSD2","0.0628","0.597","0.0636","1","hsa-miR-503-5p","","",""
"KBTBD4","0.0628","0.597","0.0636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"KCNA7","0.122","0.597","0.127","1","hsa-miR-215-5p","","",""
"KCNIP1","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"KCNK6","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"KIAA1211L","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"KIF23","0.205","0.597","0.223","1","hsa-miR-503-5p","","",""
"KIF24","0.178","0.597","0.191","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"KLC2","0.0573","0.597","0.207","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"KLHL1","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"KLHL26","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"KLHL3","0.0457","0.597","0.297","3","hsa-miR-24-3p","hsa-miR-3184-5p","hsa-miR-503-5p",""
"KNSTRN","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"KRBA2","0.0628","0.597","0.0636","1","hsa-miR-215-5p","","",""
"LAMB3","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"LAMTOR4","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"LARP1","0.147","0.597","0.350","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"LAYN","0.178","0.597","0.191","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"LCP2","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"LFNG","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"LGI2","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"LIPT2","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"LMTK2","0.171","0.597","0.382","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"LPAR4","0.0929","0.597","0.0955","1","hsa-miR-215-5p","","",""
"LRCH3","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"LRFN2","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"LRIG2","0.159","0.597","0.366","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"LRRC15","0.205","0.597","0.223","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"LRRC58","0.0658","0.597","0.223","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"LSM10","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"LSM11","0.104","0.597","0.286","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p","",""
"LTB","0.122","0.597","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"LYRM1","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"MAMSTR","0.0628","0.597","0.0636","1","hsa-miR-3184-5p","","",""
"MAN1C1","0.178","0.597","0.191","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"MANBAL","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"MAPK7","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"MAPK8IP2","0.151","0.597","0.159","1","hsa-miR-503-5p","","",""
"MAPRE3","0.205","0.597","0.223","1","hsa-miR-191-5p","","",""
"MARCKSL1","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"MARK4","0.0347","0.597","0.159","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"MATN3","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"MBOAT1","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"MCTP2","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"MCTS1","0.0748","0.597","0.239","2","hsa-miR-215-5p","hsa-miR-324-5p","",""
"MED16","0.00258","0.597","0.0477","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"MED22","0.00507","0.597","0.0636","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"MEOX1","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"METRN","0.0318","0.597","0.0318","1","hsa-miR-3184-5p","","",""
"MFAP2","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"MGLL","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"MIDN","0.0658","0.597","0.223","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"MIP","0.178","0.597","0.191","1","hsa-miR-324-5p","","",""
"MKS1","0.0318","0.597","0.0318","1","hsa-miR-3184-5p","","",""
"MKX","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"MMAB","0.0841","0.597","0.255","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"MMP16","0.195","0.597","0.530","3","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p","hsa-miR-24-3p",""
"MOB3C","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"MOCS1","0.125","0.597","0.318","2","hsa-miR-24-3p","hsa-miR-324-5p","",""
"MRC2","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"MROH8","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"MRPL34","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"MRPL4","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"MRPL45","0.178","0.597","0.191","1","hsa-miR-24-3p","","",""
"MTHFR","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"MTMR11","0.0929","0.597","0.0955","1","hsa-miR-503-5p","","",""
"MTMR14","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"MYBL2","0.122","0.597","0.127","1","hsa-miR-3184-5p","","",""
"MYEOV","0.0628","0.597","0.0636","1","hsa-miR-191-5p","","",""
"MYLK","0.0652","0.597","0.339","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-503-5p",""
"MYLK3","0.178","0.597","0.191","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"MYO5A","0.159","0.597","0.366","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p","",""
"MYO9B","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"NAALADL1","0.151","0.597","0.159","1","hsa-miR-3184-5p","","",""
