"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"CCZ1","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"CD80","0.00846","0.198","0.00846","1","hsa-miR-146a-5p","","","",""
"CDKN2A","0.00764","0.198","0.0677","2","hsa-miR-24-3p","hsa-miR-215-5p","","",""
"CENPE","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"CFH","0.00846","0.198","0.00846","1","hsa-miR-146a-5p","","","",""
"CHFR","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"CIRBP","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"CLVS1","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"COMMD9","0.0169","0.198","0.102","2","hsa-miR-24-3p","hsa-miR-6741-3p","","",""
"COX2","0.0119","0.198","0.0846","2","hsa-miR-146a-5p","hsa-miR-26b-3p","","",""
"CRY1","0.00846","0.198","0.00846","1","hsa-miR-324-5p","","","",""
"CTCF","0.00672","0.198","0.0635","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"DBF4B","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"DCLRE1A","0.00846","0.198","0.00846","1","hsa-miR-503-5p","","","",""
"DDHD2","0.0119","0.198","0.0846","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"DHCR24","0.00522","0.198","0.121","3","hsa-miR-215-5p","hsa-miR-24-3p","hsa-miR-191-5p","",""
"DHFRP1","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"DIP2C","0.0143","0.198","0.0931","2","hsa-miR-3909","hsa-miR-4677-3p","","",""
"DND1","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"EMC2","0.00764","0.198","0.0677","2","hsa-miR-425-3p","hsa-miR-24-3p","","",""
"EME1","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"EPOR","0.00585","0.198","0.0593","2","hsa-miR-361-3p","hsa-miR-503-5p","","",""
"EPSTI1","0.0169","0.198","0.0169","1","hsa-miR-146a-5p","","","",""
"EXOSC8","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"EXTL2","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"FAAP20","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"FAM189A2","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"FAM222A","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"FAM83C","0.0119","0.198","0.0846","2","hsa-miR-451b","hsa-miR-1180-3p","","",""
"FANCF","0.00425","0.198","0.113","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-24-3p","",""
"FBXO36","0.00672","0.198","0.0635","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"FBXO4","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"FEN1","0.00395","0.198","0.110","3","hsa-miR-24-3p","hsa-miR-215-5p","hsa-miR-3074-5p","",""
"FGF2","0.0105","0.198","0.222","4","hsa-miR-503-5p","hsa-miR-215-5p","hsa-miR-451b","hsa-miR-26b-3p",""
"FGF8","0.0169","0.198","0.0169","1","hsa-miR-503-5p","","","",""
